# Logfile created on 2017-10-11 10:45:28 -0500 by logger.rb/1.2.8
I, [2017-10-11T10:45:28.667195 #3879]  INFO -- : Log file for succeeded and failed message of the performance test for 1 million messages
I, [2017-10-11T10:45:28.673291 #3879]  INFO -- : Message success, No. 5001 Time= 0.006009486
I, [2017-10-11T10:45:28.677049 #3879]  INFO -- : Message success, No. 5002 Time= 0.003609673
I, [2017-10-11T10:45:28.679897 #3879]  INFO -- : Message success, No. 5003 Time= 0.002697275
I, [2017-10-11T10:45:28.690077 #3879]  INFO -- : Message success, No. 5004 Time= 0.009487206
I, [2017-10-11T10:45:28.698135 #3879]  INFO -- : Message success, No. 5005 Time= 0.006397533
I, [2017-10-11T10:45:28.706793 #3879]  INFO -- : Message success, No. 5006 Time= 0.008183344
I, [2017-10-11T10:45:28.710491 #3879]  INFO -- : Message success, No. 5007 Time= 0.003486282
I, [2017-10-11T10:45:28.714952 #3879]  INFO -- : Message success, No. 5008 Time= 0.004308369
I, [2017-10-11T10:45:28.722180 #3879]  INFO -- : Message success, No. 5009 Time= 0.007068258
I, [2017-10-11T10:45:28.725788 #3879]  INFO -- : Message success, No. 5010 Time= 0.00341876
I, [2017-10-11T10:45:28.735019 #3879]  INFO -- : Message success, No. 5011 Time= 0.008023212
I, [2017-10-11T10:45:28.739961 #3879]  INFO -- : Message success, No. 5012 Time= 0.004787626
I, [2017-10-11T10:45:28.751086 #3879]  INFO -- : Message success, No. 5013 Time= 0.010366698
I, [2017-10-11T10:45:28.753802 #3879]  INFO -- : Message success, No. 5014 Time= 0.002426138
I, [2017-10-11T10:45:28.765715 #3879]  INFO -- : Message success, No. 5015 Time= 0.010360773
I, [2017-10-11T10:45:28.790867 #3879]  INFO -- : Message success, No. 5016 Time= 0.02482815
I, [2017-10-11T10:45:28.814032 #3879]  INFO -- : Message success, No. 5017 Time= 0.020258857
I, [2017-10-11T10:45:28.834259 #3879]  INFO -- : Message success, No. 5018 Time= 0.014646971
I, [2017-10-11T10:45:28.839010 #3879]  INFO -- : Message success, No. 5019 Time= 0.004658068
I, [2017-10-11T10:45:28.845606 #3879]  INFO -- : Message success, No. 5020 Time= 0.006513308
I, [2017-10-11T10:45:28.850637 #3879]  INFO -- : Message success, No. 5021 Time= 0.00493983
I, [2017-10-11T10:45:28.866287 #3879]  INFO -- : Message success, No. 5022 Time= 0.014721124
I, [2017-10-11T10:45:28.879125 #3879]  INFO -- : Message success, No. 5023 Time= 0.011119119
I, [2017-10-11T10:45:28.885520 #3879]  INFO -- : Message success, No. 5024 Time= 0.004967292
I, [2017-10-11T10:45:28.899227 #3879]  INFO -- : Message success, No. 5025 Time= 0.013126958
I, [2017-10-11T10:45:28.905181 #3879]  INFO -- : Message success, No. 5026 Time= 0.004471797
I, [2017-10-11T10:45:28.918042 #3879]  INFO -- : Message success, No. 5027 Time= 0.012713305
I, [2017-10-11T10:45:28.927918 #3879]  INFO -- : Message success, No. 5028 Time= 0.009684375
I, [2017-10-11T10:45:28.934470 #3879]  INFO -- : Message success, No. 5029 Time= 0.006372042
I, [2017-10-11T10:45:28.944995 #3879]  INFO -- : Message success, No. 5030 Time= 0.010354605
I, [2017-10-11T10:45:28.956195 #3879]  INFO -- : Message success, No. 5031 Time= 0.010997657
I, [2017-10-11T10:45:28.968530 #3879]  INFO -- : Message success, No. 5032 Time= 0.012076908
I, [2017-10-11T10:45:28.996815 #3879]  INFO -- : Message success, No. 5033 Time= 0.027111617
I, [2017-10-11T10:45:29.019925 #3879]  INFO -- : Message success, No. 5034 Time= 0.01943293
I, [2017-10-11T10:45:29.036655 #3879]  INFO -- : Message success, No. 5035 Time= 0.015354346
I, [2017-10-11T10:45:29.045556 #3879]  INFO -- : Message success, No. 5036 Time= 0.008521141
I, [2017-10-11T10:45:29.059268 #3879]  INFO -- : Message success, No. 5037 Time= 0.01010421
I, [2017-10-11T10:45:29.065844 #3879]  INFO -- : Message success, No. 5038 Time= 0.006362275
I, [2017-10-11T10:45:29.078329 #3879]  INFO -- : Message success, No. 5039 Time= 0.011566886
I, [2017-10-11T10:45:29.092230 #3879]  INFO -- : Message success, No. 5040 Time= 0.013677477
I, [2017-10-11T10:45:29.099166 #3879]  INFO -- : Message success, No. 5041 Time= 0.006610996
I, [2017-10-11T10:45:29.109420 #3879]  INFO -- : Message success, No. 5042 Time= 0.008707791
I, [2017-10-11T10:45:29.121957 #3879]  INFO -- : Message success, No. 5043 Time= 0.012344854
I, [2017-10-11T10:45:29.136497 #3879]  INFO -- : Message success, No. 5044 Time= 0.013418864
I, [2017-10-11T10:45:29.150757 #3879]  INFO -- : Message success, No. 5045 Time= 0.012487031
I, [2017-10-11T10:45:29.160746 #3879]  INFO -- : Message success, No. 5046 Time= 0.009740259
I, [2017-10-11T10:45:29.165441 #3879]  INFO -- : Message success, No. 5047 Time= 0.004488086
I, [2017-10-11T10:45:29.180145 #3879]  INFO -- : Message success, No. 5048 Time= 0.014356354
I, [2017-10-11T10:45:29.188414 #3879]  INFO -- : Message success, No. 5049 Time= 0.006089309
I, [2017-10-11T10:45:29.200708 #3879]  INFO -- : Message success, No. 5050 Time= 0.009655732
I, [2017-10-11T10:45:29.228576 #3879]  INFO -- : Message success, No. 5051 Time= 0.02768275
I, [2017-10-11T10:45:29.235542 #3879]  INFO -- : Message success, No. 5052 Time= 0.005179007
I, [2017-10-11T10:45:29.246611 #3879]  INFO -- : Message success, No. 5053 Time= 0.00671717
I, [2017-10-11T10:45:29.258845 #3879]  INFO -- : Message success, No. 5054 Time= 0.010348346
I, [2017-10-11T10:45:29.272834 #3879]  INFO -- : Message success, No. 5055 Time= 0.013730214
I, [2017-10-11T10:45:29.279539 #3879]  INFO -- : Message success, No. 5056 Time= 0.006424491
I, [2017-10-11T10:45:29.286165 #3879]  INFO -- : Message success, No. 5057 Time= 0.006437934
I, [2017-10-11T10:45:29.302137 #3879]  INFO -- : Message success, No. 5058 Time= 0.015601631
I, [2017-10-11T10:45:29.315678 #3879]  INFO -- : Message success, No. 5059 Time= 0.01269571
I, [2017-10-11T10:45:29.326186 #3879]  INFO -- : Message success, No. 5060 Time= 0.008318801
I, [2017-10-11T10:45:29.336546 #3879]  INFO -- : Message success, No. 5061 Time= 0.01009833
I, [2017-10-11T10:45:29.341888 #3879]  INFO -- : Message success, No. 5062 Time= 0.005137689
I, [2017-10-11T10:45:29.349170 #3879]  INFO -- : Message success, No. 5063 Time= 0.005686696
I, [2017-10-11T10:45:29.354631 #3879]  INFO -- : Message success, No. 5064 Time= 0.005264502
I, [2017-10-11T10:45:29.370564 #3879]  INFO -- : Message success, No. 5065 Time= 0.014770935
I, [2017-10-11T10:45:29.380878 #3879]  INFO -- : Message success, No. 5066 Time= 0.0101108
I, [2017-10-11T10:45:29.386599 #3879]  INFO -- : Message success, No. 5067 Time= 0.005260177
I, [2017-10-11T10:45:29.399422 #3879]  INFO -- : Message success, No. 5068 Time= 0.012289201
I, [2017-10-11T10:45:29.412471 #3879]  INFO -- : Message success, No. 5069 Time= 0.012219867
I, [2017-10-11T10:45:29.422900 #3879]  INFO -- : Message success, No. 5070 Time= 0.010182869
I, [2017-10-11T10:45:29.432992 #3879]  INFO -- : Message success, No. 5071 Time= 0.009857148
I, [2017-10-11T10:45:29.453966 #3879]  INFO -- : Message success, No. 5072 Time= 0.020051301
I, [2017-10-11T10:45:29.461447 #3879]  INFO -- : Message success, No. 5073 Time= 0.005739221
I, [2017-10-11T10:45:29.473805 #3879]  INFO -- : Message success, No. 5074 Time= 0.011630977
I, [2017-10-11T10:45:29.479120 #3879]  INFO -- : Message success, No. 5075 Time= 0.005124496
I, [2017-10-11T10:45:29.493001 #3879]  INFO -- : Message success, No. 5076 Time= 0.013664702
I, [2017-10-11T10:45:29.500870 #3879]  INFO -- : Message success, No. 5077 Time= 0.007649294
I, [2017-10-11T10:45:29.512094 #3879]  INFO -- : Message success, No. 5078 Time= 0.011027216
I, [2017-10-11T10:45:29.520827 #3879]  INFO -- : Message success, No. 5079 Time= 0.008490473
I, [2017-10-11T10:45:29.528369 #3879]  INFO -- : Message success, No. 5080 Time= 0.006558263
I, [2017-10-11T10:45:29.536515 #3879]  INFO -- : Message success, No. 5081 Time= 0.007942678
I, [2017-10-11T10:45:29.543979 #3879]  INFO -- : Message success, No. 5082 Time= 0.00722179
I, [2017-10-11T10:45:29.557752 #3879]  INFO -- : Message success, No. 5083 Time= 0.010065233
I, [2017-10-11T10:45:29.570431 #3879]  INFO -- : Message success, No. 5084 Time= 0.01240967
I, [2017-10-11T10:45:29.580725 #3879]  INFO -- : Message success, No. 5085 Time= 0.009848349
I, [2017-10-11T10:45:29.589191 #3879]  INFO -- : Message success, No. 5086 Time= 0.008185853
I, [2017-10-11T10:45:29.604790 #3879]  INFO -- : Message success, No. 5087 Time= 0.014695353
I, [2017-10-11T10:45:29.614964 #3879]  INFO -- : Message success, No. 5088 Time= 0.009976123
I, [2017-10-11T10:45:29.620966 #3879]  INFO -- : Message success, No. 5089 Time= 0.005814699
I, [2017-10-11T10:45:29.632629 #3879]  INFO -- : Message success, No. 5090 Time= 0.009561907
I, [2017-10-11T10:45:29.640953 #3879]  INFO -- : Message success, No. 5091 Time= 0.007010057
I, [2017-10-11T10:45:29.652176 #3879]  INFO -- : Message success, No. 5092 Time= 0.011036298
I, [2017-10-11T10:45:29.661743 #3879]  INFO -- : Message success, No. 5093 Time= 0.007262346
I, [2017-10-11T10:45:29.666729 #3879]  INFO -- : Message success, No. 5094 Time= 0.004763892
I, [2017-10-11T10:45:29.679355 #3879]  INFO -- : Message success, No. 5095 Time= 0.012388011
I, [2017-10-11T10:45:29.695512 #3879]  INFO -- : Message success, No. 5096 Time= 0.015345082
I, [2017-10-11T10:45:29.699572 #3879]  INFO -- : Message success, No. 5097 Time= 0.003866102
I, [2017-10-11T10:45:29.710201 #3879]  INFO -- : Message success, No. 5098 Time= 0.009164768
I, [2017-10-11T10:45:29.728677 #3879]  INFO -- : Message success, No. 5099 Time= 0.018279239
I, [2017-10-11T10:45:29.736546 #3879]  INFO -- : Message success, No. 5100 Time= 0.007652326
I, [2017-10-11T10:45:29.741829 #3879]  INFO -- : Message success, No. 5101 Time= 0.00501771
I, [2017-10-11T10:45:29.752737 #3879]  INFO -- : Message success, No. 5102 Time= 0.010660481
I, [2017-10-11T10:45:29.762298 #3879]  INFO -- : Message success, No. 5103 Time= 0.006294156
I, [2017-10-11T10:45:29.770321 #3879]  INFO -- : Message success, No. 5104 Time= 0.00759638
I, [2017-10-11T10:45:29.780862 #3879]  INFO -- : Message success, No. 5105 Time= 0.008416762
I, [2017-10-11T10:45:29.791133 #3879]  INFO -- : Message success, No. 5106 Time= 0.00988167
I, [2017-10-11T10:45:29.802141 #3879]  INFO -- : Message success, No. 5107 Time= 0.010377052
I, [2017-10-11T10:45:29.809647 #3879]  INFO -- : Message success, No. 5108 Time= 0.007297512
I, [2017-10-11T10:45:29.821999 #3879]  INFO -- : Message success, No. 5109 Time= 0.00977441
I, [2017-10-11T10:45:29.826465 #3879]  INFO -- : Message success, No. 5110 Time= 0.002236618
I, [2017-10-11T10:45:29.836431 #3879]  INFO -- : Message success, No. 5111 Time= 0.009790065
I, [2017-10-11T10:45:29.847458 #3879]  INFO -- : Message success, No. 5112 Time= 0.008603335
I, [2017-10-11T10:45:29.859245 #3879]  INFO -- : Message success, No. 5113 Time= 0.011614002
I, [2017-10-11T10:45:29.873681 #3879]  INFO -- : Message success, No. 5114 Time= 0.014221642
I, [2017-10-11T10:45:29.883352 #3879]  INFO -- : Message success, No. 5115 Time= 0.00936322
I, [2017-10-11T10:45:29.895759 #3879]  INFO -- : Message success, No. 5116 Time= 0.012158761
I, [2017-10-11T10:45:29.904886 #3879]  INFO -- : Message success, No. 5117 Time= 0.005495997
I, [2017-10-11T10:45:29.919366 #3879]  INFO -- : Message success, No. 5118 Time= 0.012126914
I, [2017-10-11T10:45:29.932720 #3879]  INFO -- : Message success, No. 5119 Time= 0.012983848
I, [2017-10-11T10:45:29.944012 #3879]  INFO -- : Message success, No. 5120 Time= 0.01109512
I, [2017-10-11T10:45:29.953907 #3879]  INFO -- : Message success, No. 5121 Time= 0.006206663
I, [2017-10-11T10:45:29.965916 #3879]  INFO -- : Message success, No. 5122 Time= 0.011796815
I, [2017-10-11T10:45:29.976629 #3879]  INFO -- : Message success, No. 5123 Time= 0.009135429
I, [2017-10-11T10:45:29.988102 #3879]  INFO -- : Message success, No. 5124 Time= 0.010209491
I, [2017-10-11T10:45:29.996227 #3879]  INFO -- : Message success, No. 5125 Time= 0.004573394
I, [2017-10-11T10:45:30.008764 #3879]  INFO -- : Message success, No. 5126 Time= 0.00913335
I, [2017-10-11T10:45:30.024497 #3879]  INFO -- : Message success, No. 5127 Time= 0.012089732
I, [2017-10-11T10:45:30.030768 #3879]  INFO -- : Message success, No. 5128 Time= 0.006091181
I, [2017-10-11T10:45:30.048675 #3879]  INFO -- : Message success, No. 5129 Time= 0.017714611
I, [2017-10-11T10:45:30.064947 #3879]  INFO -- : Message success, No. 5130 Time= 0.013798304
I, [2017-10-11T10:45:30.075592 #3879]  INFO -- : Message success, No. 5131 Time= 0.008456869
I, [2017-10-11T10:45:30.084602 #3879]  INFO -- : Message success, No. 5132 Time= 0.008813289
I, [2017-10-11T10:45:30.097124 #3879]  INFO -- : Message success, No. 5133 Time= 0.008930663
I, [2017-10-11T10:45:30.112656 #3879]  INFO -- : Message success, No. 5134 Time= 0.015324891
I, [2017-10-11T10:45:30.125290 #3879]  INFO -- : Message success, No. 5135 Time= 0.011160944
I, [2017-10-11T10:45:30.135858 #3879]  INFO -- : Message success, No. 5136 Time= 0.010358845
I, [2017-10-11T10:45:30.149531 #3879]  INFO -- : Message success, No. 5137 Time= 0.013485156
I, [2017-10-11T10:45:30.157360 #3879]  INFO -- : Message success, No. 5138 Time= 0.007320633
I, [2017-10-11T10:45:30.169244 #3879]  INFO -- : Message success, No. 5139 Time= 0.009603506
I, [2017-10-11T10:45:30.171662 #3879]  INFO -- : Message success, No. 5140 Time= 0.002238865
I, [2017-10-11T10:45:30.182858 #3879]  INFO -- : Message success, No. 5141 Time= 0.006233627
I, [2017-10-11T10:45:30.191674 #3879]  INFO -- : Message success, No. 5142 Time= 0.008636142
I, [2017-10-11T10:45:30.197795 #3879]  INFO -- : Message success, No. 5143 Time= 0.005943231
I, [2017-10-11T10:45:30.201069 #3879]  INFO -- : Message success, No. 5144 Time= 0.003106883
I, [2017-10-11T10:45:30.211875 #3879]  INFO -- : Message success, No. 5145 Time= 0.01050439
I, [2017-10-11T10:45:30.217783 #3879]  INFO -- : Message success, No. 5146 Time= 0.004386653
I, [2017-10-11T10:45:30.227818 #3879]  INFO -- : Message success, No. 5147 Time= 0.009708407
I, [2017-10-11T10:45:30.233082 #3879]  INFO -- : Message success, No. 5148 Time= 0.0050809
I, [2017-10-11T10:45:30.243819 #3879]  INFO -- : Message success, No. 5149 Time= 0.00510136
I, [2017-10-11T10:45:30.250426 #3879]  INFO -- : Message success, No. 5150 Time= 0.006418549
I, [2017-10-11T10:45:30.261384 #3879]  INFO -- : Message success, No. 5151 Time= 0.009641997
I, [2017-10-11T10:45:30.275065 #3879]  INFO -- : Message success, No. 5152 Time= 0.013408436
I, [2017-10-11T10:45:30.282581 #3879]  INFO -- : Message success, No. 5153 Time= 0.007311423
I, [2017-10-11T10:45:30.292878 #3879]  INFO -- : Message success, No. 5154 Time= 0.010042677
I, [2017-10-11T10:45:30.307510 #3879]  INFO -- : Message success, No. 5155 Time= 0.011850889
I, [2017-10-11T10:45:30.313891 #3879]  INFO -- : Message success, No. 5156 Time= 0.00563749
I, [2017-10-11T10:45:30.317063 #3879]  INFO -- : Message success, No. 5157 Time= 0.003008841
I, [2017-10-11T10:45:30.327878 #3879]  INFO -- : Message success, No. 5158 Time= 0.010106273
I, [2017-10-11T10:45:30.343702 #3879]  INFO -- : Message success, No. 5159 Time= 0.015079695
I, [2017-10-11T10:45:30.352203 #3879]  INFO -- : Message success, No. 5160 Time= 0.008167469
I, [2017-10-11T10:45:30.368764 #3879]  INFO -- : Message success, No. 5161 Time= 0.015377926
I, [2017-10-11T10:45:30.378657 #3879]  INFO -- : Message success, No. 5162 Time= 0.009692323
I, [2017-10-11T10:45:30.385413 #3879]  INFO -- : Message success, No. 5163 Time= 0.005868076
I, [2017-10-11T10:45:30.392701 #3879]  INFO -- : Message success, No. 5164 Time= 0.005169311
I, [2017-10-11T10:45:30.407704 #3879]  INFO -- : Message success, No. 5165 Time= 0.012228508
I, [2017-10-11T10:45:30.424119 #3879]  INFO -- : Message success, No. 5166 Time= 0.016207453
I, [2017-10-11T10:45:30.433491 #3879]  INFO -- : Message success, No. 5167 Time= 0.006917844
I, [2017-10-11T10:45:30.443602 #3879]  INFO -- : Message success, No. 5168 Time= 0.009937082
I, [2017-10-11T10:45:30.451741 #3879]  INFO -- : Message success, No. 5169 Time= 0.00795176
I, [2017-10-11T10:45:30.457850 #3879]  INFO -- : Message success, No. 5170 Time= 0.005895125
I, [2017-10-11T10:45:30.470501 #3879]  INFO -- : Message success, No. 5171 Time= 0.010939399
I, [2017-10-11T10:45:30.479215 #3879]  INFO -- : Message success, No. 5172 Time= 0.008508449
I, [2017-10-11T10:45:30.487932 #3879]  INFO -- : Message success, No. 5173 Time= 0.0084265
I, [2017-10-11T10:45:30.496261 #3879]  INFO -- : Message success, No. 5174 Time= 0.008030093
I, [2017-10-11T10:45:30.510422 #3879]  INFO -- : Message success, No. 5175 Time= 0.010736551
I, [2017-10-11T10:45:30.516277 #3879]  INFO -- : Message success, No. 5176 Time= 0.005611291
I, [2017-10-11T10:45:30.528849 #3879]  INFO -- : Message success, No. 5177 Time= 0.0088372
I, [2017-10-11T10:45:30.543537 #3879]  INFO -- : Message success, No. 5178 Time= 0.013994791
I, [2017-10-11T10:45:30.553260 #3879]  INFO -- : Message success, No. 5179 Time= 0.009541188
I, [2017-10-11T10:45:30.563202 #3879]  INFO -- : Message success, No. 5180 Time= 0.005253589
I, [2017-10-11T10:45:30.572549 #3879]  INFO -- : Message success, No. 5181 Time= 0.00862938
I, [2017-10-11T10:45:30.581697 #3879]  INFO -- : Message success, No. 5182 Time= 0.005342387
I, [2017-10-11T10:45:30.596367 #3879]  INFO -- : Message success, No. 5183 Time= 0.012318125
I, [2017-10-11T10:45:30.603472 #3879]  INFO -- : Message success, No. 5184 Time= 0.00692512
I, [2017-10-11T10:45:30.616500 #3879]  INFO -- : Message success, No. 5185 Time= 0.012851356
I, [2017-10-11T10:45:30.630468 #3879]  INFO -- : Message success, No. 5186 Time= 0.01168747
I, [2017-10-11T10:45:30.640191 #3879]  INFO -- : Message success, No. 5187 Time= 0.009542916
I, [2017-10-11T10:45:30.646047 #3879]  INFO -- : Message success, No. 5188 Time= 0.005640779
I, [2017-10-11T10:45:30.654777 #3879]  INFO -- : Message success, No. 5189 Time= 0.008556428
I, [2017-10-11T10:45:30.664280 #3879]  INFO -- : Message success, No. 5190 Time= 0.00869101
I, [2017-10-11T10:45:30.675771 #3879]  INFO -- : Message success, No. 5191 Time= 0.010648998
I, [2017-10-11T10:45:30.688482 #3879]  INFO -- : Message success, No. 5192 Time= 0.012313306
I, [2017-10-11T10:45:30.695904 #3879]  INFO -- : Message success, No. 5193 Time= 0.006684338
I, [2017-10-11T10:45:30.709252 #3879]  INFO -- : Message success, No. 5194 Time= 0.012632197
I, [2017-10-11T10:45:30.717552 #3879]  INFO -- : Message success, No. 5195 Time= 0.008082222
I, [2017-10-11T10:45:30.729738 #3879]  INFO -- : Message success, No. 5196 Time= 0.011511304
I, [2017-10-11T10:45:30.741156 #3879]  INFO -- : Message success, No. 5197 Time= 0.008972234
I, [2017-10-11T10:45:30.753997 #3879]  INFO -- : Message success, No. 5198 Time= 0.008204497
I, [2017-10-11T10:45:30.762792 #3879]  INFO -- : Message success, No. 5199 Time= 0.0085726
I, [2017-10-11T10:45:30.772925 #3879]  INFO -- : Message success, No. 5200 Time= 0.009177898
I, [2017-10-11T10:45:30.780692 #3879]  INFO -- : Message success, No. 5201 Time= 0.007591485
I, [2017-10-11T10:45:30.791525 #3879]  INFO -- : Message success, No. 5202 Time= 0.010477581
I, [2017-10-11T10:45:30.802215 #3879]  INFO -- : Message success, No. 5203 Time= 0.010173248
I, [2017-10-11T10:45:30.812344 #3879]  INFO -- : Message success, No. 5204 Time= 0.005181025
I, [2017-10-11T10:45:30.824334 #3879]  INFO -- : Message success, No. 5205 Time= 0.011796546
I, [2017-10-11T10:45:30.830476 #3879]  INFO -- : Message success, No. 5206 Time= 0.005447658
I, [2017-10-11T10:45:30.844022 #3879]  INFO -- : Message success, No. 5207 Time= 0.013375352
I, [2017-10-11T10:45:30.855717 #3879]  INFO -- : Message success, No. 5208 Time= 0.011463776
I, [2017-10-11T10:45:30.866695 #3879]  INFO -- : Message success, No. 5209 Time= 0.010738544
I, [2017-10-11T10:45:30.880850 #3879]  INFO -- : Message success, No. 5210 Time= 0.013617644
I, [2017-10-11T10:45:30.890134 #3879]  INFO -- : Message success, No. 5211 Time= 0.005938233
I, [2017-10-11T10:45:30.896244 #3879]  INFO -- : Message success, No. 5212 Time= 0.005929437
I, [2017-10-11T10:45:30.907442 #3879]  INFO -- : Message success, No. 5213 Time= 0.011004729
I, [2017-10-11T10:45:30.915357 #3879]  INFO -- : Message success, No. 5214 Time= 0.00772259
I, [2017-10-11T10:45:30.925360 #3879]  INFO -- : Message success, No. 5215 Time= 0.009148783
I, [2017-10-11T10:45:30.942289 #3879]  INFO -- : Message success, No. 5216 Time= 0.014677413
I, [2017-10-11T10:45:30.952526 #3879]  INFO -- : Message success, No. 5217 Time= 0.008732602
I, [2017-10-11T10:45:30.964261 #3879]  INFO -- : Message success, No. 5218 Time= 0.010858368
I, [2017-10-11T10:45:30.978690 #3879]  INFO -- : Message success, No. 5219 Time= 0.01424437
I, [2017-10-11T10:45:30.986530 #3879]  INFO -- : Message success, No. 5220 Time= 0.007626407
I, [2017-10-11T10:45:30.994377 #3879]  INFO -- : Message success, No. 5221 Time= 0.007656869
I, [2017-10-11T10:45:31.006710 #3879]  INFO -- : Message success, No. 5222 Time= 0.012132648
I, [2017-10-11T10:45:31.017332 #3879]  INFO -- : Message success, No. 5223 Time= 0.010302571
