# Logfile created on 2017-10-06 15:48:53 -0500 by logger.rb/1.2.8
I, [2017-10-06T15:48:53.986417 #4236]  INFO -- : Log file for succeeded and failed message of the performance test for 1 million messages
I, [2017-10-06T15:48:53.996978 #4236]  INFO -- : Message success, Time= 0.010303307
I, [2017-10-06T15:48:54.014809 #4236]  INFO -- : Message success, Time= 0.0175489
I, [2017-10-06T15:48:54.021108 #4236]  INFO -- : Message success, Time= 0.006208915
I, [2017-10-06T15:48:54.030892 #4236]  INFO -- : Message success, Time= 0.009677715
I, [2017-10-06T15:48:54.036623 #4236]  INFO -- : Message success, Time= 0.005608315
I, [2017-10-06T15:48:54.048854 #4236]  INFO -- : Message success, Time= 0.012121107
I, [2017-10-06T15:48:54.059611 #4236]  INFO -- : Message success, Time= 0.010545293
I, [2017-10-06T15:48:54.064152 #4236]  INFO -- : Message success, Time= 0.004256432
I, [2017-10-06T15:48:54.071280 #4236]  INFO -- : Message success, Time= 0.007013799
I, [2017-10-06T15:48:54.080048 #4236]  INFO -- : Message success, Time= 0.008573289
I, [2017-10-06T15:48:54.114605 #4236]  INFO -- : Message success, Time= 0.034425991
I, [2017-10-06T15:48:54.132129 #4236]  INFO -- : Message success, Time= 0.017389166
I, [2017-10-06T15:48:54.138624 #4236]  INFO -- : Message success, Time= 0.006385669
I, [2017-10-06T15:48:54.155497 #4236]  INFO -- : Message success, Time= 0.016732658
I, [2017-10-06T15:48:54.174397 #4236]  INFO -- : Message success, Time= 0.018668502
I, [2017-10-06T15:48:54.182497 #4236]  INFO -- : Message success, Time= 0.007963984
I, [2017-10-06T15:48:54.190163 #4236]  INFO -- : Message success, Time= 0.007565363
I, [2017-10-06T15:48:54.199232 #4236]  INFO -- : Message success, Time= 0.008931894
I, [2017-10-06T15:48:54.204486 #4236]  INFO -- : Message success, Time= 0.005140964
I, [2017-10-06T15:48:54.210931 #4236]  INFO -- : Message success, Time= 0.006334
I, [2017-10-06T15:48:54.224291 #4236]  INFO -- : Message success, Time= 0.013185273
I, [2017-10-06T15:48:54.235415 #4236]  INFO -- : Message success, Time= 0.010844666
I, [2017-10-06T15:48:54.241498 #4236]  INFO -- : Message success, Time= 0.005980808
I, [2017-10-06T15:48:54.247833 #4236]  INFO -- : Message success, Time= 0.006055779
I, [2017-10-06T15:48:54.255197 #4236]  INFO -- : Message success, Time= 0.007258378
I, [2017-10-06T15:48:54.259104 #4236]  INFO -- : Message success, Time= 0.003805022
I, [2017-10-06T15:48:54.265017 #4236]  INFO -- : Message success, Time= 0.005781114
I, [2017-10-06T15:48:54.271020 #4236]  INFO -- : Message success, Time= 0.005880469
I, [2017-10-06T15:48:54.282963 #4236]  INFO -- : Message success, Time= 0.011789555
I, [2017-10-06T15:48:54.299400 #4236]  INFO -- : Message success, Time= 0.016312641
I, [2017-10-06T15:48:54.310472 #4236]  INFO -- : Message success, Time= 0.00711837
I, [2017-10-06T15:48:54.326302 #4236]  INFO -- : Message success, Time= 0.015212088
I, [2017-10-06T15:48:54.336922 #4236]  INFO -- : Message success, Time= 0.010363396
I, [2017-10-06T15:48:54.340619 #4236]  INFO -- : Message success, Time= 0.003600066
I, [2017-10-06T15:48:54.348882 #4236]  INFO -- : Message success, Time= 0.008165981
I, [2017-10-06T15:48:54.356995 #4236]  INFO -- : Message success, Time= 0.007969828
I, [2017-10-06T15:48:54.371082 #4236]  INFO -- : Message success, Time= 0.013952811
I, [2017-10-06T15:48:54.379667 #4236]  INFO -- : Message success, Time= 0.00843418
I, [2017-10-06T15:48:54.387190 #4236]  INFO -- : Message success, Time= 0.007343522
I, [2017-10-06T15:48:54.393367 #4236]  INFO -- : Message success, Time= 0.006051837
I, [2017-10-06T15:48:54.400252 #4236]  INFO -- : Message success, Time= 0.006758389
I, [2017-10-06T15:48:54.411038 #4236]  INFO -- : Message success, Time= 0.01062739
I, [2017-10-06T15:48:54.427336 #4236]  INFO -- : Message success, Time= 0.016095059
I, [2017-10-06T15:48:54.438355 #4236]  INFO -- : Message success, Time= 0.010486442
I, [2017-10-06T15:48:54.448176 #4236]  INFO -- : Message success, Time= 0.00968438
I, [2017-10-06T15:48:54.455887 #4236]  INFO -- : Message success, Time= 0.007603796
I, [2017-10-06T15:48:54.465864 #4236]  INFO -- : Message success, Time= 0.009874305
I, [2017-10-06T15:48:54.479067 #4236]  INFO -- : Message success, Time= 0.013089153
I, [2017-10-06T15:48:54.486974 #4236]  INFO -- : Message success, Time= 0.007789254
I, [2017-10-06T15:48:54.491172 #4236]  INFO -- : Message success, Time= 0.0040978
I, [2017-10-06T15:48:54.499612 #4236]  INFO -- : Message success, Time= 0.005942904
I, [2017-10-06T15:48:54.505269 #4236]  INFO -- : Message success, Time= 0.005559559
I, [2017-10-06T15:48:54.514746 #4236]  INFO -- : Message success, Time= 0.009326634
I, [2017-10-06T15:48:54.521174 #4236]  INFO -- : Message success, Time= 0.006290887
I, [2017-10-06T15:48:54.530048 #4236]  INFO -- : Message success, Time= 0.008695461
I, [2017-10-06T15:48:54.552627 #4236]  INFO -- : Message success, Time= 0.021912922
I, [2017-10-06T15:48:54.556297 #4236]  INFO -- : Message success, Time= 0.003543391
I, [2017-10-06T15:48:54.568411 #4236]  INFO -- : Message success, Time= 0.01196598
I, [2017-10-06T15:48:54.578607 #4236]  INFO -- : Message success, Time= 0.009793988
I, [2017-10-06T15:48:54.582670 #4236]  INFO -- : Message success, Time= 0.003964947
I, [2017-10-06T15:48:54.591100 #4236]  INFO -- : Message success, Time= 0.008338104
I, [2017-10-06T15:48:54.594897 #4236]  INFO -- : Message success, Time= 0.003695188
I, [2017-10-06T15:48:54.602689 #4236]  INFO -- : Message success, Time= 0.007700051
I, [2017-10-06T15:48:54.610434 #4236]  INFO -- : Message success, Time= 0.007639792
I, [2017-10-06T15:48:54.622950 #4236]  INFO -- : Message success, Time= 0.012404275
I, [2017-10-06T15:48:54.634677 #4236]  INFO -- : Message success, Time= 0.011621585
I, [2017-10-06T15:48:54.645022 #4236]  INFO -- : Message success, Time= 0.010234976
I, [2017-10-06T15:48:54.654882 #4236]  INFO -- : Message success, Time= 0.009682982
I, [2017-10-06T15:48:54.680992 #4236]  INFO -- : Message success, Time= 0.025946347
I, [2017-10-06T15:48:54.693263 #4236]  INFO -- : Message success, Time= 0.012026418
I, [2017-10-06T15:48:54.699243 #4236]  INFO -- : Message success, Time= 0.005807076
I, [2017-10-06T15:48:54.708672 #4236]  INFO -- : Message success, Time= 0.009331357
I, [2017-10-06T15:48:54.716541 #4236]  INFO -- : Message success, Time= 0.007758788
I, [2017-10-06T15:48:54.723071 #4236]  INFO -- : Message success, Time= 0.006103105
I, [2017-10-06T15:48:54.731282 #4236]  INFO -- : Message success, Time= 0.008120264
I, [2017-10-06T15:48:54.739298 #4236]  INFO -- : Message success, Time= 0.007844509
I, [2017-10-06T15:48:54.750858 #4236]  INFO -- : Message success, Time= 0.011416982
I, [2017-10-06T15:48:54.763012 #4236]  INFO -- : Message success, Time= 0.012043104
I, [2017-10-06T15:48:54.769455 #4236]  INFO -- : Message success, Time= 0.006304302
I, [2017-10-06T15:48:54.777210 #4236]  INFO -- : Message success, Time= 0.007525474
I, [2017-10-06T15:48:54.790759 #4236]  INFO -- : Message success, Time= 0.013191264
I, [2017-10-06T15:48:54.811398 #4236]  INFO -- : Message success, Time= 0.020495893
I, [2017-10-06T15:48:54.820731 #4236]  INFO -- : Message success, Time= 0.009175579
I, [2017-10-06T15:48:54.825109 #4236]  INFO -- : Message success, Time= 0.004266026
I, [2017-10-06T15:48:54.829738 #4236]  INFO -- : Message success, Time= 0.00452415
I, [2017-10-06T15:48:54.838550 #4236]  INFO -- : Message success, Time= 0.00870443
I, [2017-10-06T15:48:54.850546 #4236]  INFO -- : Message success, Time= 0.011871193
I, [2017-10-06T15:48:54.860525 #4236]  INFO -- : Message success, Time= 0.009875272
I, [2017-10-06T15:48:54.866864 #4236]  INFO -- : Message success, Time= 0.006234487
I, [2017-10-06T15:48:54.872454 #4236]  INFO -- : Message success, Time= 0.005503581
I, [2017-10-06T15:48:54.879045 #4236]  INFO -- : Message success, Time= 0.006501955
